Acc_x	Acc_y	Acc_z	Time	Total secs	
0.375	0.375	0.437988	04:04:07.320	14647	
0.5	-0.280762	2.12598	04:04:07.360	14647	
0.375	0.125	1.56299	04:04:07.400	14647	
0.312988	0.593994	-0.312988	04:04:07.440	14647	
0.25	0.343994	0.562988	04:04:07.480	14647	
0.280762	-0.375	2.50098	04:04:07.520	14647	
0.530762	-0.0939941	1.375	04:04:07.560	14647	
-0.0307617	0.5	-0.312988	04:04:07.600	14647	
0.375	0.405762	0.625	04:04:07.640	14647	
0.25	0.187988	2.18799	04:04:07.680	14647	
0.437988	-0.375	1.5	04:04:07.720	14647	
-0.0629883	0.280762	-0.0307617	04:04:07.759	14647	
0.280762	0.0939941	0.468994	04:04:07.800	14647	
0.781982	-0.0629883	2.09399	04:04:07.840	14647	
0.812988	0	2.00098	04:04:07.880	14647	
0.405762	0.562988	-0.280762	04:04:07.920	14647	
0.155762	0.312988	0.530762	04:04:07.960	14647	
0.906982	0.155762	1.96899	04:04:08.000	14648	
0.393799	-0.49585	1.03687	04:04:08.040	14648	
0.105957	0.330811	-0.263916	04:04:08.080	14648	
0.298828	0.145996	0.813965	04:04:08.119	14648	
0.625977	-0.135986	1.90381	04:04:08.160	14648	
0.393799	0.0559082	1.18799	04:04:08.200	14648	
0.153809	0.383789	-0.0578613	04:04:08.240	14648	
0.334961	0.145996	1.08276	04:04:08.280	14648	
0.422852	-0.270996	1.72778	04:04:08.320	14648	
0.532959	-0.0478516	0.673828	04:04:08.360	14648	
0.224854	0.287842	-0.0808105	04:04:08.400	14648	
0.162842	-0.065918	1.10791	04:04:08.439	14648	
0.369873	0.0559082	1.95581	04:04:08.480	14648	
0.207764	0.527832	0.882812	04:04:08.520	14648	
-0.0629883	0.139893	0.182861	04:04:08.560	14648	
0.293945	-0.355957	1.40698	04:04:08.600	14648	
0.570801	0.168945	1.93384	04:04:08.640	14648	
0.0197754	0.328857	0.37793	04:04:08.680	14648	
-0.0478516	-0.140869	0.294922	04:04:08.720	14648	
0.434814	-0.304932	1.67188	04:04:08.759	14648	
0.512939	0.762939	2.18188	04:04:08.800	14648	
-0.155762	0.217773	0.35498	04:04:08.840	14648	
-0.0339355	0.0898438	0.384766	04:04:08.880	14648	
0.632812	-0.337891	1.04199	04:04:08.920	14648	
0.25	0.75	2.31299	04:04:08.960	14648	
-0.437988	0	0.218994	04:04:09.000	14649	
-0.0307617	0.0307617	0.25	04:04:09.040	14649	
0.593994	0.5	0.781982	04:04:09.080	14649	
0.468994	0.187988	2.06299	04:04:09.119	14649	
-0.0939941	-0.343994	0.75	04:04:09.160	14649	
-0.155762	0.187988	-0.155762	04:04:09.200	14649	
0.75	0.343994	0.562988	04:04:09.240	14649	
0.405762	0.125	1.90698	04:04:09.280	14649	
0.0629883	-0.530762	0.843994	04:04:09.320	14649	
-0.25	0.125	-0.312988	04:04:09.360	14649	
0.468994	0.25	0.280762	04:04:09.400	14649	
0.437988	-0.375	1.71899	04:04:09.439	14649	
0.25	0.125	1.31299	04:04:09.480	14649	
0.0939941	0.343994	-0.25	04:04:09.520	14649	
0.155762	0.25	0.187988	04:04:09.560	14649	
0.280762	-0.5	1.84399	04:04:09.600	14649	
0.468994	-0.125	1.46899	04:04:09.640	14649	
0.155762	0.5	-0.187988	04:04:09.680	14649	
0.0939941	0.0939941	0.25	04:04:09.720	14649	
0.530762	-0.562988	1.93799	04:04:09.759	14649	
0.405762	0.530762	1.78198	04:04:09.800	14649	
0	0.0307617	0.0939941	04:04:09.840	14649	
0.0307617	-0.0307617	0.468994	04:04:09.880	14649	
0.0939941	-0.155762	1.21899	04:04:09.920	14649	
0.5	0.25	1.81299	04:04:09.960	14649	
-0.0629883	-0.218994	0.0629883	04:04:10.000	14650	
0.00488281	0.152832	0.142822	04:04:10.040	14650	
0.149902	0.0778809	0.662842	04:04:10.080	14650	
0.399902	0.212891	1.74585	04:04:10.119	14650	
0.11499	-0.0129395	1.01489	04:04:10.160	14650	
0.118896	0.199951	-0.0307617	04:04:10.200	14650	
0.365967	-0.0827637	0.928955	04:04:10.240	14650	
0.454834	-0.22998	1.53296	04:04:10.280	14650	
0.409912	0.112793	0.784912	04:04:10.320	14650	
0.128906	0.0498047	-0.209961	04:04:10.360	14650	
0.0187988	-0.237793	0.724854	04:04:10.400	14650	
0.230957	0.000976562	1.7959	04:04:10.439	14650	
0.240967	0.0109863	1.28979	04:04:10.480	14650	
-0.0349121	-0.21582	0.25	04:04:10.520	14650	
-0.072998	-0.0688477	0.634766	04:04:10.560	14650	
0.493896	0.412842	1.76294	04:04:10.600	14650	
0.383789	0.0078125	0.9729	04:04:10.640	14650	
-0.0878906	-0.162842	0.473877	04:04:10.680	14650	
-0.434814	-0.197998	1.24683	04:04:10.720	14650	
0.632812	0.533936	2.09399	04:04:10.759	14650	
0.224854	-0.143799	0.831787	04:04:10.800	14650	
-0.178955	-0.0598145	0.547852	04:04:10.840	14650	
0.11084	-0.329834	2.04785	04:04:10.880	14650	
1.0188	0.630859	2.48096	04:04:10.920	14650	
-0.125	-0.25	0.5	04:04:10.960	14650	
0.155762	0.0629883	0.530762	04:04:11.000	14651	
0.781982	-0.655762	2.12598	04:04:11.040	14651	
0.562988	1.15698	2.18799	04:04:11.080	14651	
0	0.5	-0.25	04:04:11.119	14651	
0.280762	0.0939941	0.375	04:04:11.160	14651	
0.75	-0.5	2.31299	04:04:11.200	14651	
0.687988	0.687988	2.43799	04:04:11.240	14651	
-0.155762	0.562988	-0.25	04:04:11.280	14651	
0.155762	0.155762	0.437988	04:04:11.320	14651	
0.843994	-0.718994	2.34497	04:04:11.360	14651	
0.375	0.75	2.03198	04:04:11.400	14651	
-0.0939941	0.218994	-0.405762	04:04:11.439	14651	
0.187988	0.155762	0.405762	04:04:11.480	14651	
0.593994	-0.437988	2.25098	04:04:11.520	14651	
0.437988	0.530762	2.03198	04:04:11.560	14651	
-0.0307617	0.187988	-0.280762	04:04:11.600	14651	
0.155762	0	0.375	04:04:11.640	14651	
0.530762	-0.468994	2.15698	04:04:11.680	14651	
0.312988	0.75	2.15698	04:04:11.720	14651	
-0.187988	0.280762	-0.343994	04:04:11.759	14651	
0.155762	0.0629883	0.437988	04:04:11.800	14651	
0	-0.343994	1.31299	04:04:11.840	14651	
0.437988	0.562988	1.78198	04:04:11.880	14651	
-0.125	0.187988	0.187988	04:04:11.920	14651	
0	-0.0939941	0.405762	04:04:11.960	14651	
0.25	-0.280762	1.43799	04:04:12.000	14652	
0.4729	0.648926	2.14087	04:04:12.040	14652	
-0.182861	-0.233887	0.25	04:04:12.080	14652	
-0.0949707	0.338867	0.257812	04:04:12.119	14652	
0.179932	0.515869	0.562988	04:04:12.160	14652	
0.287842	0.305908	1.68188	04:04:12.200	14652	
-0.332764	-0.188965	0.650879	04:04:12.240	14652	
0.139893	-0.137939	0.000976562	04:04:12.280	14652	
0.359863	-0.399902	0.856934	04:04:12.320	14652	
0.275879	-0.369873	1.83594	04:04:12.360	14652	
0.368896	0.299805	1.125	04:04:12.400	14652	
0.0197754	0.195801	0.178955	04:04:12.439	14652	
0.154785	-0.210938	1.18677	04:04:12.480	14652	
0.317871	0.11377	1.99878	04:04:12.520	14652	
0.157959	0.313965	0.901855	04:04:12.560	14652	
0.125	-0.168945	0.343994	04:04:12.600	14652	
0.22998	-0.223877	1.37183	04:04:12.640	14652	
0.494873	0.310791	2.05688	04:04:12.680	14652	
0.174805	0.013916	0.873779	04:04:12.720	14652	
-0.0949707	-0.115967	0.422852	04:04:12.759	14652	
0.0998535	0.00585938	1.33789	04:04:12.800	14652	
0.497803	0.450928	2.08789	04:04:12.840	14652	
